Duration (in seconds),RecordedDate,ResponseId,App-Func,Product-Pers,Adv-Marketing,Analytics,Att-Enact,Att-Enact-Explain,Changes-Explain,State,Law-Awareness,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,Condition,Law,AppCategory,AppName
155,4/18/25 9:14,R_77dIdT5br8OB9oV,"1,3,4,5,6,10","5,14","5,14","5,6,13",1,,,California,,2,1,,2,1,,1,,63ed0065eb23ac3ee1726453,67fecb3ede31a76593440504,680279d7cd937dca30515744,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
162,4/18/25 9:15,R_6pvQH3i5KHONdtv,"1,4,17","1,2,12,13,17,20,21,23","1,5,8,12,13,20,21","1,2,8,14,21",2,I want to limit the amount of personal data to be minimized. ,Their requirement will need to be bare-bones and minimilstic. ,Texas,,4,1,,1,1,,2,,6581b7c4798415297872c04d,67fecb3ede31a76593440504,680279e748cae7b50fa18897,California,to a purpose that consumers would reasonably expect.,game,Roblox
192,4/18/25 9:15,R_60BEV08XPUoPdpD,"13,20,21,22,23","13,20,21,23",21,"20,21,23",1,"I believe protecting data is a matter of individual rights, security and safety.",Limit how to collect and retain personal data.,MA,,3,2,,2,2,,1,,6631a1c8755d8554913b3b86,67fecb3ede31a76593440504,680279c5cf49de720c75a641,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
193,4/18/25 9:15,R_7dHmTBwVej5w9yl,"1,3,4,6,10,12",12,12,12,1,,,NC,,4,2,,2,1,,1,,67f2e6b1b04c6020f9117fe2,67fecb3ede31a76593440504,680279d5f9a6b0774176f2a0,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
203,4/18/25 9:15,R_3NrkddiSbzkc1SC,,,,,1,I believe a company should not collect my personal data for any reason.,They will have to change the functionality of their apps.,WA,,5,2,,2,1,,5,,5c6b646349b7f0000120b659,67fecb3ede31a76593440504,680279cd27ded2a9e9930507,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
223,4/18/25 9:15,R_54wUpmb1NkOtXK9,"1,2,3,4,7,17,18,19,20,21,22,23","2,7,13,21","1,2,7,13,21","2,13,20,21,22,23",1,"Apps generally ask for access to things that have absolutely nothing to do with the app, regardless if the information they gather is not important.",They will stop trying to take over data collection of everything you do on your phone outside of the app.,New York,,2,1,,2,1,,5,,5f6e723379ef5f3be5d2fde1,67fecb3ede31a76593440504,680279c2850aabb998f233c4,California,to a purpose that consumers would reasonably expect.,game,Roblox
181,4/18/25 9:15,R_6F8v06Hns1GmWXk,"1,2,17,18,20,22","1,2,17,20",,20,1,Data gathering should be minimized,I have no idea how they have developed it already,Kentucky,,5,1,,2,1,,2,,60c770aa2d2928bfda4c7cd4,67fecb3ede31a76593440504,680279e6002ea81ae3eb2cdf,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
231,4/18/25 9:15,R_3Eh5ReKAi3JVUiy,"20,22,23",,,"20,22,23",1,Data is misused frequently ,Collect less data,Nebraska,,4,2,,2,1,,1,,667746ecd51176477fc56d12,67fecb3ede31a76593440504,680279cbc4585930215d937f,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
206,4/18/25 9:16,R_1QRE8EOzoayA9WC,23,"1,7,12,13,20","13,20,21",22,2,I think only the essential data should be collected as it does help with the functionality of certain apps but this does mean collecting all kinds of data of its users. ,Maybe the disclaimers they provide to users on what data is collected. ,Virginia,,2,2,,1,6,Hispanic/Latino,2,,6644ba0cfa5897d92ceb35fd,67fecb3ede31a76593440504,680279ff679fc016fe9123e9,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
234,4/18/25 9:16,R_5gnB3RNWWBOtwUb,"18,22,23",,,"1,2,18,20,22,23",2,I hate how much of my data is collected.  ,Stip listening and recording everything little thi g that is done,Florida,,3,2,,2,1,,3,,5dd40277e08a363e4e006384,67fecb3ede31a76593440504,680279df8e996147153d9d64,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
